product_image,category,sub_category,product_name,short_description,product_description,strain_type,thc_level,cbd_level,unit_count,unit_price,unit_count_type,brand_name,state,brand_description,brand_logos
https://s3-us-west-1.amazonaws.com/greentap-temp-images/Products/toffee_greenbag+(1).png,edible,chocolate,Toffee,,We craft crave-inducing toffee based on an award winning recipe hand dipped in our signature Belgian chocolate.  6 pieces per pack.,,70 mg,,1,$14.00,unit,Upside Edibles,CA,"We are committed to producing peace by piece. Each and every bite of our delicious, gourmet food delivers a consistent dose of premium grade cannabis. We are laser-focused on bringing the greatest relief to our customers with the greatest culinary experience.",https://s3-us-west-1.amazonaws.com/greentap-temp-images/Upside+Edibles.jpeg
https://s3-us-west-1.amazonaws.com/greentap-temp-images/Products/cherry_fb_greenbag.png,edible,chocolate,Fruit Bites - Cherry,,"We make delicious chocolate covered fruit bites, created with all natural, organic, no sugar added fruit hand dipped in our signature Belgian chocolate.",,100 mg,,1,$12.00,unit,Upside Edibles,CA,"We are committed to producing peace by piece. Each and every bite of our delicious, gourmet food delivers a consistent dose of premium grade cannabis. We are laser-focused on bringing the greatest relief to our customers with the greatest culinary experience.",https://s3-us-west-1.amazonaws.com/greentap-temp-images/Upside+Edibles.jpeg
https://s3-us-west-1.amazonaws.com/greentap-temp-images/Products/strawberry_fb_greenbag.png,edible,chocolate,Fruit Bites - Strawberry,,"We make delicious chocolate covered fruit bites, created with all natural, organic, no sugar added fruit hand dipped in our signature Belgian chocolate.",,100 mg,,1,$12.00,unit,Upside Edibles,CA,"We are committed to producing peace by piece. Each and every bite of our delicious, gourmet food delivers a consistent dose of premium grade cannabis. We are laser-focused on bringing the greatest relief to our customers with the greatest culinary experience.",https://s3-us-west-1.amazonaws.com/greentap-temp-images/Upside+Edibles.jpeg
https://s3-us-west-1.amazonaws.com/greentap-temp-images/Products/bloodorange_fb_greenbag.png,edible,chocolate,Fruit Bites - Blood Orange,,"We make delicious chocolate covered fruit bites, created with all natural, organic, no sugar added fruit hand dipped in our signature Belgian chocolate.",,100 mg,,1,$12.00,unit,Upside Edibles,CA,"We are committed to producing peace by piece. Each and every bite of our delicious, gourmet food delivers a consistent dose of premium grade cannabis. We are laser-focused on bringing the greatest relief to our customers with the greatest culinary experience.",https://s3-us-west-1.amazonaws.com/greentap-temp-images/Upside+Edibles.jpeg
https://s3-us-west-1.amazonaws.com/greentap-temp-images/Products/apricot_greenbag+(1).png,edible,chocolate,Whole Fruit - Apricots ,,"We create simple, chocolate-covered Apricots with dried, imported Turkish Apricots hand dipped in our signature Belgian chocolate.",,100 mg,,1,$14.00,unit,Upside Edibles,CA,"We are committed to producing peace by piece. Each and every bite of our delicious, gourmet food delivers a consistent dose of premium grade cannabis. We are laser-focused on bringing the greatest relief to our customers with the greatest culinary experience.",https://s3-us-west-1.amazonaws.com/greentap-temp-images/Upside+Edibles.jpeg
https://s3-us-west-1.amazonaws.com/greentap-temp-images/Products/peace+and+relief+cream+(1).png,topical,balm,Peace and Relief Cream - Full Plant Extract,,"We are committed to giving you peace + relief from from pain and irritation with a topical cream made from the highest grade THC/CBD full plant extract.

- fast, consistent, effective relief from pain, muscle soreness, inflammation & skin irritation with no psychoactive ""high""
- lab tested
- rapid absorption for quick reapplication
- delicious scent
- smooth, creamy texture  that evenly delivers medicine to your cannabinoid receptors",,,,,,,Upside Edibles,CA,"We are committed to producing peace by piece. Each and every bite of our delicious, gourmet food delivers a consistent dose of premium grade cannabis. We are laser-focused on bringing the greatest relief to our customers with the greatest culinary experience.",https://s3-us-west-1.amazonaws.com/greentap-temp-images/Upside+Edibles.jpeg
https://s3-us-west-1.amazonaws.com/greentap-temp-images/Products/bottle_fb+(1).jpg,edible,capsule,Full-spectrum CBD Softgels,,"• 25mg of CBD per softgel
• 31.5mg of total cannabinoids
• 30 softgels per bottle
• Full Spectrum Hemp Extract
• Rich in phytocannabinoids
• Gluten-free, dairy free and non-GMO
• Free of pesticides, heavy metals and residual solvents
• Cultivated in EU and Made in the USA

Relief from stress, anxiety and pain. Are you a professional with a stressful job? A mom balancing children and a million other things? An athlete experiencing muscle pain? Or someone with a chronic disease? Whatever life is tossing your way, our CBD softgels can help you stay calm and focused while providing relief, so you can concentrate on the things that matter most. Full-spectrum relief from from pain, anxiety, and chronic conditions from a powerful, natural plant.

Optimized formula. Our full spectrum softgels are CO2-extracted and carefully processed to preserve and optimize all of the natural phytocannabinoids and terpenes found in the hemp plant. Our CBD oils are pure and 100% free of heavy metals, additives, solvents, and pesticides as well as GMO-free, gluten-free, and dairy-free.

It’s pure, potent CBD for effective, natural relief. Farmacy Bliss products are lab-certified, are free of pesticides, heavy metals and residual solvents. Each bottle contains 30 softgels, with 25mg in CBD each.
",,0 mg,25 mg,1,$65.99,unit,Farmacy Bliss,CA,"We produce medical grade CBD products that help alleviate excessive stress, anxiety, insomnia, chronic pain, inflammatory and auto-immune conditions.",https://s3-us-west-1.amazonaws.com/greentap-temp-images/logo_fbliss3.png
https://s3-us-west-1.amazonaws.com/greentap-temp-images/Products/Soak-AmberMoon-TW.jpg,topical,bath soak,Soak: Amber Moon,,"Soak your body in our pharmacological grade Epsom salts coupled with cannabis, nourishing carrier oils, and therapeutic grade essential oils for a full body, non-intoxicating effect. Enjoy our signature Amber Moon fragrance.",hybrid,25 mg,25 mg,1,$7.50,unit,Whoopi & Maya,CA,"When the legendary Whoopi Goldberg decided to follow her heart and take a leap into the medical cannabis market, she went looking for the best ingredients, the best medicine and the most talented infuser she could find. Maya Elisabeth, the founder of Om Edibles since 2008, has won seven High Times Cannabis Cup awards, and enjoys a growing reputation as one of the best creators of medical cannabis products in California. The two women hit it off from the moment they met and quickly decided that the Whoopi & Maya Synergy would begin with a Signature Line of medical cannabis products designed specifically for relief from menstrual discomfort. As you will see, they have succeeded spectacularly. Soak, Savor, Rub & Relax -- with Whoopi & Maya",https://s3-us-west-1.amazonaws.com/greentap-temp-images/W%26M-logo.jpg
https://s3-us-west-1.amazonaws.com/greentap-temp-images/Products/Soak-Lavender-TW.jpg,topical,bath soak,Soak: Lavender,,"Soak your body in our pharmacological grade Epsom salts coupled with cannabis, nourishing carrier oils, and therapeutic grade essential oils for a full body, non-intoxicating effect. Enjoy our relaxing Lavender fragrance. ",hybrid,25 mg,25 mg,1,$7.50,unit,Whoopi & Maya,CA,"When the legendary Whoopi Goldberg decided to follow her heart and take a leap into the medical cannabis market, she went looking for the best ingredients, the best medicine and the most talented infuser she could find. Maya Elisabeth, the founder of Om Edibles since 2008, has won seven High Times Cannabis Cup awards, and enjoys a growing reputation as one of the best creators of medical cannabis products in California. The two women hit it off from the moment they met and quickly decided that the Whoopi & Maya Synergy would begin with a Signature Line of medical cannabis products designed specifically for relief from menstrual discomfort. As you will see, they have succeeded spectacularly. Soak, Savor, Rub & Relax -- with Whoopi & Maya",https://s3-us-west-1.amazonaws.com/greentap-temp-images/W%26M-logo.jpg
https://s3-us-west-1.amazonaws.com/greentap-temp-images/Products/Soak-Unscented-TW.jpg,topical,bath soak,Soak: Unscented ,,"Soak your body in our pharmacological grade Epsom salts coupled with cannabis, nourishing carrier oils, and therapeutic grade essential oils for a full body, non-intoxicating effect. Enjoy our unscented fragrance for those with skin imbalances/ sensitivities. ",hybrid,25 mg,25 mg,1,$7.50,unit,Whoopi & Maya,CA,"When the legendary Whoopi Goldberg decided to follow her heart and take a leap into the medical cannabis market, she went looking for the best ingredients, the best medicine and the most talented infuser she could find. Maya Elisabeth, the founder of Om Edibles since 2008, has won seven High Times Cannabis Cup awards, and enjoys a growing reputation as one of the best creators of medical cannabis products in California. The two women hit it off from the moment they met and quickly decided that the Whoopi & Maya Synergy would begin with a Signature Line of medical cannabis products designed specifically for relief from menstrual discomfort. As you will see, they have succeeded spectacularly. Soak, Savor, Rub & Relax -- with Whoopi & Maya",https://s3-us-west-1.amazonaws.com/greentap-temp-images/W%26M-logo.jpg
